"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\bin\authors.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\bin\upload-release.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\activeline.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\anywordhint.html", "HTML", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\bidi.html", "HTML", 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 12, 107
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\btree.html", "HTML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 11, 84
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\buffers.html", "HTML", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 17, 110
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\changemode.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\closebrackets.html", "HTML", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\closetag.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\complete.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 14, 127
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\emacs.html", "HTML", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\folding.html", "HTML", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 19, 185
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\fullscreen.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 10, 84
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\hardwrap.html", "HTML", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\html5complete.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\indentwrap.html", "HTML", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 10, 60
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\lint.html", "HTML", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 26, 172
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\loadmode.html", "HTML", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 6, 73
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\marker.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\markselection.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\matchhighlighter.html", "HTML", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 14, 104
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\matchtags.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\merge.html", "HTML", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 15, 124
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\multiplex.html", "HTML", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\mustache.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 8, 70
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\panel.html", "HTML", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 19, 138
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\placeholder.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\preview.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\requirejs.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 10, 71
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\resize.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\rulers.html", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\runmode-standalone.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\runmode.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\search.html", "HTML", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 10, 100
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\simplemode.html", "HTML", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 19, 187
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\simplescrollbars.html", "HTML", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 13, 83
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\demo\spanaffectswrapping_shim.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 12, 86
